conditions,pretrained_colour,pretrained_grey,untrained_colour,untrained_grey
"('densenet121', 0.0005, 32)",0.956,0.931,0.877,0.893
"('resnet50-wide', 0.001, 0.99, 32)",0.956,0.931,0.927,0.885
"('resnet34', 0.001, 0.99, 32)",0.955,0.932,0.935,0.89
"('densenet121', 0.001, 0.99, 32)",0.955,0.832,0.938,0.888
"('resnet50-wide', 0.001, 0.99, 64)",0.955,0.937,0.932,0.872
"('resnet18', 0.0005, 64)",0.954,0.922,0.856,0.847
"('resnet18', 0.001, 0.99, 64)",0.954,0.93,0.94,0.883
"('densenet121', 0.0005, 0.99, 64)",0.954,0.934,0.934,0.883
"('densenet121', 0.001, 0.99, 64)",0.954,0.931,0.939,0.891
"('resnet50', 0.001, 0.99, 64)",0.954,0.932,0.931,0.871
"('resnet50', 0.0005, 0.99, 64)",0.954,0.934,0.932,0.869
"('resnet34', 0.0001, 64)",0.954,0.926,0.888,0.809
"('resnet18', 0.0005, 32)",0.954,0.924,0.907,0.907
"('resnet50-wide', 0.0001, 0.99, 32)",0.954,0.929,,
"('resnet18', 0.001, 0.99, 32)",0.954,0.923,0.943,0.903
"('resnet50', 0.001, 0.95, 64)",0.953,0.932,0.927,0.858
"('resnet50', 0.001, 0.99, 32)",0.953,0.93,0.93,0.872
"('resnet18', 0.0005, 0.99, 64)",0.953,0.932,0.939,0.879
"('resnet50', 0.0001, 64)",0.953,0.91,0.842,0.863
"('resnet50-wide', 0.001, 0.95, 64)",0.952,0.933,0.932,0.868
"('resnet50-wide', 0.0001, 0.99, 64)",0.952,0.926,0.928,0.866
"('resnet34', 0.001, 0.95, 64)",0.952,0.928,0.935,0.874
"('resnet34', 0.0005, 0.99, 64)",0.952,0.933,0.937,0.885
"('convnext-base', 0.001, 0.99, 32)",0.951,0.924,0.5,0.5
"('resnet50-wide', 0.0005, 0.99, 64)",0.951,0.931,0.931,0.874
"('densenet121', 0.0001, 32)",0.951,0.926,0.899,0.834
"('resnet18', 0.0001, 0.99, 32)",0.951,0.922,,0.868
"('resnet34', 0.001, 0.99, 64)",0.95,0.935,0.938,0.889
"('vitb16', 0.001, 0.9, 64)",0.95,0.933,0.879,0.788
"('convnext-base', 0.0001, 32)",0.95,,0.504,0.5
"('resnet50', 0.0001, 32)",0.95,0.931,0.896,0.831
"('resnet34', 0.001, 0.9, 64)",0.95,0.924,0.93,0.871
"('resnet34', 0.0005, 64)",0.95,0.922,0.923,0.908
"('densenet121', 0.0001, 0.99, 32)",0.95,0.928,,
"('resnet50-wide', 0.001, 0.9, 64)",0.949,0.927,0.921,0.856
"('densenet121', 0.001, 0.95, 64)",0.949,0.929,0.928,0.874
"('resnet50', 0.0005, 0.9, 32)",0.949,0.925,,0.849
"('resnet50', 0.0001, 0.99, 64)",0.949,0.924,0.928,0.867
"('vitb16', 0.001, 0.95, 64)",0.949,0.94,0.88,0.793
"('resnet34', 0.0005, 0.9, 32)",0.948,0.923,,0.865
"('resnet50', 0.0005, 0.9, 64)",0.948,0.916,0.92,0.835
"('convnext-tiny', 0.001, 0.95, 64)",0.948,0.924,0.621,0.5
"('resnet50-wide', 0.0005, 0.9, 32)",0.948,0.928,,
"('resnet50', 0.0001, 0.99, 32)",0.948,0.926,,0.86
"('resnet50-wide', 0.0001, 32)",0.948,0.931,0.868,0.801
"('resnet18', 0.001, 0.95, 64)",0.948,0.923,0.937,0.868
"('densenet121', 0.0001, 64)",0.948,0.936,0.91,0.817
"('resnet34', 0.0001, 0.99, 32)",0.948,0.927,,0.872
"('densenet121', 0.001, 0.9, 64)",0.948,0.929,0.928,0.86
"('convnext-tiny', 0.001, 0.99, 64)",0.947,0.917,0.5,0.5
"('densenet121', 0.001, 64)",0.947,0.943,0.842,0.857
"('vitb16', 0.0001, 0.99, 64)",0.947,0.931,0.899,0.807
"('resnet50', 0.001, 0.9, 64)",0.947,0.923,0.925,0.85
"('densenet121', 0.0005, 0.9, 32)",0.947,0.923,,
"('convnext-tiny', 0.0001, 32)",0.946,0.925,0.5,0.5
"('resnet34', 0.0001, 0.99, 64)",0.946,0.92,0.938,0.881
"('resnet18', 0.0001, 0.99, 64)",0.946,0.918,0.928,0.876
"('resnet18', 0.0001, 32)",0.945,0.919,0.921,0.881
"('vitb16', 0.0001, 0.95, 32)",0.945,0.927,,0.773
"('resnet34', 0.0001, 32)",0.945,0.931,0.892,0.86
"('densenet121', 0.0001, 0.99, 64)",0.944,0.923,0.928,0.876
"('resnet50-wide', 0.0005, 0.9, 64)",0.944,0.919,,0.842
"('densenet121', 0.0005, 64)",0.944,0.936,0.887,0.845
"('convnext-base', 0.001, 0.99, 64)",0.944,0.925,0.5,0.5
"('resnet18', 0.0005, 0.9, 32)",0.944,0.919,,0.862
"('resnet34', 0.0005, 32)",0.944,0.927,0.889,0.861
"('resnet18', 0.001, 0.9, 64)",0.943,0.917,0.93,0.862
"('vitb16', 0.0001, 0.9, 64)",0.943,0.918,0.87,0.578
"('convnext-base', 0.001, 0.95, 64)",0.943,0.922,0.642,0.5
"('convnext-base', 0.0001, 64)",0.943,0.93,0.507,0.5
"('densenet121', 0.0005, 0.9, 64)",0.942,0.917,0.927,0.866
"('resnet34', 0.0001, 0.95, 32)",0.941,0.907,,0.847
"('convnext-tiny', 0.0001, 0.95, 32)",0.941,0.899,,
"('resnet18', 0.0001, 64)",0.941,0.917,0.889,0.841
