Type,model,nivolumab,rituximab,bevacizumab,pertuzumab,pembrolizumab
Colour,ResNet-18,96.0%,97.9%,96.8%,92.7%,88.0%
,ResNet-34,96.0%,97.9%,97.1%,94.4%,90.7%
,ResNet-50,94.5%,97.7%,98.4%,93.8%,91.3%
,WRN-50-2,95.5%,97.5%,98.7%,94.1%,91.6%
,DenseNet-121,96.0%,98.4%,97.4%,94.4%,87.5%
,ConvNeXt-B,95.5%,98.4%,97.1%,95.8%,89.4%
,ConvNeXt-T,94.5%,97.2%,97.4%,94.8%,87.2%
,ViT-B/16,96.5%,97.9%,98.1%,93.8%,89.1%
,Mean (SD),95.6% (0.7%),97.9% (0.4%),97.6% (0.7%),94.2% (0.9%),89.3% (1.7%)
Grey,ResNet-18,91.5%,95.4%,95.5%,91.7%,87.2%
,ResNet-34,94.5%,95.6%,96.1%,94.8%,89.1%
,ResNet-50,95.5%,95.2%,96.5%,92.4%,88.3%
,WRN-50-2,96.0%,94.5%,95.8%,92.7%,89.9%
,DenseNet-121,96.0%,96.3%,97.4%,93.1%,89.6%
,ConvNeXt-B,96.5%,97.5%,96.8%,93.4%,88.6%
,ConvNeXt-T,95.0%,95.2%,93.6%,90.6%,90.2%
,ViT-B/16,94.0%,95.6%,98.1%,94.8%,89.1%
,Mean (SD),94.9% (1.6%),95.7% (0.9%),96.2% (1.4%),92.9% (1.4%),89.0% (1.0%)
